time_stamp,value,onset_s,block,trial
333284.9467772667,main_block_0_trial_0_on,197.31505209213356,0.0,0.0
333287.9580306656,main_block_0_trial_1_on,200.32630549103487,0.0,1.0
333290.4132726647,main_block_0_trial_2_on,202.78154749015812,0.0,2.0
333293.4206364637,main_block_0_trial_3_on,205.788911289128,0.0,3.0
333296.4303507626,main_block_0_trial_4_on,208.7986255880678,0.0,4.0
333298.83918466175,main_block_0_trial_5_on,211.2074594871956,0.0,5.0
333301.84751496074,main_block_0_trial_6_on,214.21578978619073,0.0,6.0
333304.85779915965,main_block_0_trial_7_on,217.22607398510445,0.0,7.0
333307.8667442586,main_block_0_trial_8_on,220.23501908406615,0.0,8.0
333310.87516045757,main_block_0_trial_9_on,223.24343528301688,0.0,9.0
333313.3183501567,main_block_0_trial_10_on,225.68662498216145,0.0,10.0
333316.0582362558,main_block_0_trial_11_on,228.42651108122664,0.0,11.0
333319.0647148547,main_block_0_trial_12_on,231.43298968015006,0.0,12.0
333322.07475945365,main_block_0_trial_13_on,234.443034279102,0.0,13.0
333325.08530615264,main_block_0_trial_14_on,237.45358097809367,0.0,14.0
333327.4621153518,main_block_0_trial_15_on,239.8303901772597,0.0,15.0
333329.93105215096,main_block_0_trial_16_on,242.29932697641198,0.0,16.0
333332.9372100499,main_block_0_trial_17_on,245.30548487533815,0.0,17.0
333335.94800004887,main_block_0_trial_18_on,248.3162748743198,0.0,18.0
333338.9595304478,main_block_0_trial_19_on,251.32780527323484,0.0,19.0
333341.3396294469,main_block_0_trial_20_on,253.70790427236352,0.0,20.0
333343.819729646,main_block_0_trial_21_on,256.18800447147805,0.0,21.0
333346.826708345,main_block_0_trial_22_on,259.194983170426,0.0,22.0
333349.21087394416,main_block_0_trial_23_on,261.5791487696115,0.0,23.0
333351.58268174337,main_block_0_trial_24_on,263.9509565688204,0.0,24.0
333354.5930865423,main_block_0_trial_25_on,266.9613613677793,0.0,25.0
333356.95408084145,main_block_0_trial_26_on,269.3223556668963,0.0,26.0
333359.9641288404,main_block_0_trial_27_on,272.33240366587415,0.0,27.0
333362.97417893936,main_block_0_trial_28_on,275.34245376480976,0.0,28.0
333365.9809127383,main_block_0_trial_29_on,278.34918756375555,0.0,29.0
333368.3631437375,main_block_0_trial_30_on,280.7314185629366,0.0,30.0
333371.3720236365,main_block_0_trial_31_on,283.7402984619257,0.0,31.0
333373.74646283564,main_block_0_trial_32_on,286.11473766108975,0.0,32.0
333376.75885913457,main_block_0_trial_33_on,289.1271339600207,0.0,33.0
333379.7650308335,main_block_0_trial_34_on,292.13330565893557,0.0,34.0
333382.7741337324,main_block_0_trial_35_on,295.1424085578765,0.0,35.0
333385.7816552314,main_block_0_trial_36_on,298.1499300568248,0.0,36.0
333388.1707620306,main_block_0_trial_37_on,300.5390368560329,0.0,37.0
333391.17778112955,main_block_0_trial_38_on,303.5460559549974,0.0,38.0
333394.18542142847,main_block_0_trial_39_on,306.55369625391904,0.0,39.0
333397.1924815274,main_block_0_trial_40_on,309.5607563528465,0.0,40.0
333399.7369703266,main_block_0_trial_41_on,312.1052451520227,0.0,41.0
333402.74847292545,main_block_0_trial_42_on,315.1167477509007,0.0,42.0
333405.7561912244,main_block_0_trial_43_on,318.12446604983415,0.0,43.0
333408.76128532336,main_block_0_trial_44_on,321.1295601488091,0.0,44.0
333411.7669610223,main_block_0_trial_45_on,324.13523584773066,0.0,45.0
333414.3559194214,main_block_0_trial_46_on,326.72419424686814,0.0,46.0
333417.36238572036,main_block_0_trial_47_on,329.7306605458143,0.0,47.0
